"id","civilite","prenom","nom","naissance","profession","groupe","ncirco","circo","debut","duree","age","premiereElection"
"332523","Mme","Marie-Christine","Dalloz","-377917200",,"UMP","2","Jura","1182290400","4.39614432023","52","2007"
"332614","M.","Régis","Juanico","66092400","Fonctionnaire territorial","SRC","1","Loire","1182290400","4.39614432023","38","2007"
"332636","M.","Jean-Louis","Gagnaire","-431571600","Enseignant","SRC","2","Loire","1182290400","4.39614432023","54","2007"
"332747","M.","François","de Rugy","123980400","Assistant parlementaire","GDR","1","Loire-Atlantique","1182290400","4.39614432023","38","2007"
"332796","M.","Michel","Ménard","-271990800","Professeur des écoles","SRC","5","Loire-Atlantique","1182290400","4.39614432023","49","2007"
"332843","Mme","Marie-Odile","Bouillé","-606531600","Sage-femme","SRC","8","Loire-Atlantique","1182290400","4.39614432023","60","2007"
"332858","M.","Philippe","Boënnec","-590115600","Médecin","UMP","9","Loire-Atlantique","1182290400","4.39614432023","59","2007"
"332886","M.","Olivier","Carré","-277606800","Chef d'entreprise","UMP","1","Loiret","1182290400","4.39614432023","49","2007"
"332950","Mme","Dominique","Orliac","-561690000","Médecin","SRC","1","Lot","1182290400","4.39614432023","58","2007"
"333043","M.","Marc","Goua","-941418000","Retraité salarié privé","SRC","2","Maine-et-Loire","1182290400","4.39614432023","70","2007"
"333134","M.","Guénhaël","Huet","-423622800","Fonctionnaire","UMP","2","Manche","1182290400","4.39614432023","54","2007"
"333285","M.","Guillaume","Garot","-113446800",,"SRC","1","Mayenne","1182290400","4.39614432023","44","2007"
"333335","M.","Hervé","Féron","-423277200","Homme de lettres et Artiste","SRC","2","Meurthe-et-Moselle","1182290400","4.39614432023","54","2007"
"333352","Mme","Valérie","Rosso-Debord","60217200","Juriste d'entreprise","UMP","3","Meurthe-et-Moselle","1182290400","4.39614432023","40","2007"
"333421","M.","Bertrand","Pancher","-365302800","Directeur du développement","UMP","1","Meuse","1182290400","4.39614432023","52","2007"
"333457","M.","Michel","Grall","-262141200","Conseil en stratégie industrielle","UMP","2","Morbihan","1182290400","4.39614432023","49","2007"
"333590","M.","André","Wojciechowski","-432608400","Employé (secteur privé)","UMP","7","Moselle","1182290400","4.39614432023","54","2007"
"333611","Mme","Aurélie","Filippetti","109119600","Enseignante et écrivain","SRC","8","Moselle","1182290400","4.39614432023","37","2007"
"333818","M.","Christian","Hutin","-282531600","Médecin généraliste","SRC","12","Nord","1182290400","4.39614432023","49","2007"
"333972","Mme","Christine","Marin","-591152400","Commerçante","UMP","23","Nord","1182290400","4.39614432023","59","2007"
"333975","M.","Jean-Luc","Pérat","-629254800","Professeur de l'enseignement secondaire et technique","SRC","24","Nord","1182290400","4.39614432023","60","2007"
"334","M.","Jean-Paul","Bacquet","-656730000","Médecin ","SRC","4","Puy-de-Dôme","1182290400","14.4413188582","61","1997"
"334116","Mme","Jacqueline","Maquet","-651286800","Directrice de mission","SRC","1","Pas-de-Calais","1182290400","4.39614432023","61","2007"
"334149","M.","Daniel","Fasquelle","-219632400","Professeur de faculté","UMP","4","Pas-de-Calais","1182290400","4.39614432023","47","2007"
"334160","M.","Frédéric","Cuvillier","-33526800","Professeur de faculté","SRC","5","Pas-de-Calais","1182290400","4.39614432023","43","2007"
"334525","Mme","Jacqueline","Irles","-397875600","Cadre supérieur","UMP","4","Pyrénées-Orientales","1182290400","4.39614432023","53","2007"
"334654","M.","Éric","Straumann","-169606800","Professeur agrégé","UMP","1","Haut-Rhin","1182290400","4.39614432023","46","2007"
"334750","M.","Michel","Havard","-87613200","Autre cadre (secteur privé)","UMP","1","Rhône","1182290400","4.39614432023","43","2007"
"334755","M.","Pierre-Alain","Muet","-788922000","Inspecteur général des finances","SRC","2","Rhône","1182290400","4.39614432023","65","2007"
"334768","M.","Jean-Louis","Touraine","-764730000","Professeur de médecine","SRC","3","Rhône","1182290400","4.39614432023","65","2007"
"334811","Mme","Pascale","Crozon","-807674400","Chargée de mission - Ancienne déléguée régionale chargée des droits des femmes","SRC","6","Rhône","1182290400","4.39614432023","66","2007"
"334843","M.","Patrice","Verchère","125967600","Assistant parlementaire","UMP","8","Rhône","1182290400","4.39614432023","38","2007"
"334906","M.","Philippe","Meunier","-119840400","Directeur de cabinet","UMP","13","Rhône","1182290400","4.39614432023","44","2007"
